Reference, Value, Footprint, Datasheet, Power
D2,LM431,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
R7,2.49K,Resistors_SMD:R_0805_HandSoldering,
R10,220,Resistors_SMD:R_0805_HandSoldering,
F1,3A,Resistors_SMD:R_1206_HandSoldering,
U2,BT151S-500R,TO_SOT_Packages_SMD:TO-252-2Lead,
MH1,MOUNTING_HOLE,C-BISCUIT:Mounting_Hole_M3x0.5L_~Plate~_~Pad~,
MH2,MOUNTING_HOLE,C-BISCUIT:Mounting_Hole_M3x0.5L_~Plate~_~Pad~,
MH3,MOUNTING_HOLE,C-BISCUIT:Mounting_Hole_M3x0.5L_~Plate~_~Pad~,
MH4,MOUNTING_HOLE,C-BISCUIT:Mounting_Hole_M3x0.5L_~Plate~_~Pad~,
U1,LM25576,C-BISCUIT:SOIC-20-1EP,
L1,33uH,C-BISCUIT:Inductor_EB_DR127,
D1,CSHD6-60C,TO_SOT_Packages_SMD:TO-252-2Lead,
C8,0.47uF,Capacitors_SMD:C_0805_HandSoldering,
C9,0.022uF,Capacitors_SMD:C_0805_HandSoldering,
C10,330pF,Capacitors_SMD:C_0805_HandSoldering,
R5,10,Resistors_SMD:R_2512_HandSoldering,,1W
R8,15.4K,Resistors_SMD:R_0805_HandSoldering,
R9,4.99K,Resistors_SMD:R_0805_HandSoldering,
C11,22uF,Capacitors_SMD:C_1210_HandSoldering,
C12,150uF,Capacitors_Tantalum_SMD:TantalC_SizeD_EIA-7343_HandSoldering,
C6,0.01uF,Capacitors_SMD:C_0805_HandSoldering,
R4,49.9K,Resistors_SMD:R_0805_HandSoldering,
C4,DNP,Capacitors_SMD:C_0805_HandSoldering,
C2,0.01uF,Capacitors_SMD:C_0805_HandSoldering,
R3,20.5K,Resistors_SMD:R_0805_HandSoldering,
R1,DNP,Resistors_SMD:R_0805_HandSoldering,
R2,DNP,Resistors_SMD:R_0805_HandSoldering,
C5,DNP,Capacitors_SMD:C_0805_HandSoldering,
C3,2.2uF,Capacitors_SMD:C_1812_HandSoldering,
C7,2.2uF,Capacitors_SMD:C_1812_HandSoldering,
R6,3.48K,Resistors_SMD:R_0805_HandSoldering,
P1,CONN_01X02,C-BISCUIT:Conn_01x02_5.0mm_Phoenix_1935161,
C1,330pF,Capacitors_SMD:C_0805_HandSoldering,
P2,CONN_01X02,C-BISCUIT:Conn_01x02_5.0mm_Phoenix_1935161,
